Protein IDs,Majority protein IDs,Protein names,Gene names,UPS2/1 ratio,
P37344,P37344,Psp operon transcriptional activator,pspF,,
P23830;REV__A5A624,P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase,pssA,,
P07654,P07654,Phosphate transport system permease protein pstA,pstA,,
P0AAH0,P0AAH0,Phosphate import ATP-binding protein PstB,pstB,,
P0AG82,P0AG82,Phosphate-binding protein pstS,pstS,,
P33025,P33025,Pseudouridine-5-phosphate glycosidase,psuG,,
P33024;P33021,P33024,Putative pseudouridine transporter,psuT,,
P0A9M8,P0A9M8,Phosphate acetyltransferase,pta,,
P0A7D1,P0A7D1,Peptidyl-tRNA hydrolase,pth,,
P05458,P05458,Protease 3,ptrA,,
P24555,P24555,Protease 2,ptrB,,
P69786,P69786,PTS system glucose-specific EIICB component;Glucose permease IIC component;Glucose-specific phosphotransferase enzyme IIB component,ptsG,,
P0AA04,P0AA04,Phosphocarrier protein HPr,ptsH,,
P08839;P32670,P08839,Phosphoenolpyruvate-protein phosphotransferase,ptsI,,
P69829,P69829,Nitrogen regulatory protein,ptsN,,
P0A9N0,P0A9N0,Phosphocarrier protein NPr,ptsO,,
P37177,P37177,Phosphoenolpyruvate-protein phosphotransferase ptsP,ptsP,,
P0A7D4,P0A7D4,Adenylosuccinate synthetase,purA,,
P0AB89,P0AB89,Adenylosuccinate lyase,purB,,
P0A7D7,P0A7D7,Phosphoribosylaminoimidazole-succinocarboxamide synthase,purC,,
P15640,P15640,Phosphoribosylamine--glycine ligase,purD,,
P0AG18,P0AG18,N5-carboxyaminoimidazole ribonucleotide mutase,purE,,
P0AG16,P0AG16,Amidophosphoribosyltransferase,purF,,
P15639,P15639,Bifunctional purine biosynthesis protein PurH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,purH,,
P09029,P09029,N5-carboxyaminoimidazole ribonucleotide synthase,purK,,
P15254,P15254,Phosphoribosylformylglycinamidine synthase,purL,,
P08178,P08178,Phosphoribosylformylglycinamidine cyclo-ligase,purM,,
P08179,P08179,Phosphoribosylglycinamide formyltransferase,purN,,
P31466,P31466,Probable adenine permease PurP,purP,,
P0ACP7,P0ACP7,HTH-type transcriptional repressor PurR,purR,,
P33221,P33221,Phosphoribosylglycinamide formyltransferase 2,purT,,
P37051,P37051,Formyltetrahydrofolate deformylase,purU,,
P09546,P09546,Bifunctional protein putA;Proline dehydrogenase;Delta-1-pyrroline-5-carboxylate dehydrogenase,putA,,
P07117,P07117,Sodium/proline symporter,putP,,
Q5H777;P78061,Q5H777;P78061,Gamma-glutamylputrescine synthetase PuuA,puuA,,
Q5H776;P76038,Q5H776;P76038,Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD,puuD,,
P21599,P21599,Pyruvate kinase II,pykA,,
P0AD61,P0AD61,Pyruvate kinase I,pykF,,
P0A786,P0A786,Aspartate carbamoyltransferase catalytic chain,pyrB,,
P05020,P05020,Dihydroorotase,pyrC,,
P0A7E1,P0A7E1,Dihydroorotate dehydrogenase (quinone),pyrD,,
P0A7E3,P0A7E3,Orotate phosphoribosyltransferase,pyrE,,
P08244,P08244,Orotidine 5-phosphate decarboxylase,pyrF,,
P0A7E5,P0A7E5,CTP synthase,pyrG,,
P0A7E9,P0A7E9,Uridylate kinase,pyrH,,
P0A7F3,P0A7F3,Aspartate carbamoyltransferase regulatory chain,pyrI,,
P0AA53,P0AA53,Protein QmcA,qmcA,,
P28304,P28304,Quinone oxidoreductase 1,qorA,,
P39315,P39315,Quinone oxidoreductase 2,qorB,,
P52076,P52076,Transcriptional regulatory protein QseB,qseB,,
P0A7F9,P0A7F9,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,queA,,
P77756,P77756,7-cyano-7-deazaguanine synthase,queC,,
P65870,P65870,"6-carboxy-5,6,7,8-tetrahydropterin synthase",queD,,
P64554,P64554,7-carboxy-7-deazaguanine synthase,queE,,
Q46920,Q46920,NADPH-dependent 7-cyano-7-deazaguanine reductase,queF,,
P76062,P76062,Rac prophage repressor,racR,,
P24554,P24554,DNA repair protein RadA,radA,,
P0AD49,P0AD49,Ribosome-associated inhibitor A,raiA,,
P60240,P60240,RNA polymerase-associated protein RapA,rapA,,
P0AAZ4,P0AAZ4,Replication-associated recombination protein A,rarA,,
P52119,P52119,UPF0125 protein RatB,ratB,,
P31473,P31473,ATPase ravA,ravA,,
P0A7G2,P0A7G2,Ribosome-binding factor A,rbfA,,
P0A8V0,P0A8V0,Ribonuclease BN,rbn,,
P04983,P04983,Ribose import ATP-binding protein RbsA,rbsA,,
P02925,P02925,D-ribose-binding periplasmic protein,rbsB,,
P0AGI1,P0AGI1,Ribose transport system permease protein rbsC,rbsC,,
P04982,P04982,D-ribose pyranase,rbsD,,
P0A9J6,P0A9J6,Ribokinase,rbsK,,
P64534,P64534,Nickel/cobalt homeostasis protein RcnB,rcnB,,
P69407,P69407,Capsular synthesis regulator component B,rcsB,,
P14376,P14376,Sensor kinase protein RcsC,rcsC,,
P39838,P39838,Sensor-like histidine kinase RcsD,rcsD,,
P69411,P69411,Protein rcsF,rcsF,,
P52061,P52061,dITP/XTP pyrophosphatase,rdgB,,
P36767,P36767,Recombination-associated protein RdgC,rdgC,,
P0C0K3,P0C0K3,Protein rdoA,rdoA,,
P0A7G6,P0A7G6,Protein RecA,recA,,
P07648,P07648,Exodeoxyribonuclease V gamma chain,recC,,
P24230,P24230,ATP-dependent DNA helicase recG,recG,,
P0A7H6,P0A7H6,Recombination protein RecR,recR,,
P0AG20,P0AG20,GTP pyrophosphokinase,relA,,
P0C079,P0C079,Antitoxin RelB,relB,,
P0C077,P0C077,mRNA interferase RelE,relE,,
P09980,P09980,ATP-dependent DNA helicase rep,rep,,
P03856,P03856,Replication initiation protein,repE,,
P27127,P27127,"Lipopolysaccharide 1,6-galactosyltransferase",rfaB,,
P24173,P24173,Lipopolysaccharide heptosyltransferase 1,rfaC,,
P37692,P37692,ADP-heptose--LPS heptosyltransferase 2,rfaF,,
P25740,P25740,Lipopolysaccharide core biosynthesis protein rfaG,rfaG,,
P0AFW0,P0AFW0,Transcriptional activator rfaH,rfaH,,
P27128,P27128,"Lipopolysaccharide 1,3-galactosyltransferase",rfaI,,
P27129,P27129,"Lipopolysaccharide 1,2-glucosyltransferase",rfaJ,,
P27243,P27243,O-antigen ligase,rfaL,,
P25741,P25741,Lipopolysaccharide core heptose(I) kinase rfaP,rfaP,,
P25742,P25742,Lipopolysaccharide core heptosyltransferase rfaQ,rfaQ,,
P27126,P27126,Lipopolysaccharide core biosynthesis protein rfaS,rfaS,,
P27240,P27240,Lipopolysaccharide core heptose(II) kinase rfaY,rfaY,,
P37759,P37759,"dTDP-glucose 4,6-dehydratase 1",rfbB,,
P37745,P37745,"dTDP-4-dehydrorhamnose 3,5-epimerase",rfbC,,
P37760,P37760,dTDP-4-dehydrorhamnose reductase,rfbD,,
P27833,P27833,Lipopolysaccharide biosynthesis protein RffA,rffA,,
P27830,P27830,"dTDP-glucose 4,6-dehydratase 2",rffG,,
P0A8J8,P0A8J8,ATP-dependent RNA helicase rhlB,rhlB,,
P25888,P25888,ATP-dependent RNA helicase rhlE,rhlE,,
P77215,P77215,L-rhamnonate dehydratase,rhmD,,
P0AG30,P0AG30,Transcription termination factor Rho,rho,,
P0A7I7,P0A7I7,GTP cyclohydrolase-2,ribA,,
P0AFU8,P0AFU8,Riboflavin synthase,ribC,,
P25539,P25539,Riboflavin biosynthesis protein RibD;Diaminohydroxyphosphoribosylaminopyrimidine deaminase;5-amino-6-(5-phosphoribosylamino)uracil reductase,ribD,,
P61714,P61714,"6,7-dimethyl-8-ribityllumazine synthase",ribE,,
P0AG40,P0AG40,Riboflavin biosynthesis protein RibF;Riboflavin kinase;FMN adenylyltransferase,ribF,,
P0AF93,P0AF93,Enamine/imine deaminase,ridA,,
P41409,P41409,Pyrimidine-specific ribonucleoside hydrolase RihA,rihA,,
P33022,P33022,Pyrimidine-specific ribonucleoside hydrolase rihB,rihB,,
P22564,P22564,Non-specific ribonucleoside hydrolase rihC,rihC,,
P0A944,P0A944,Ribosomal-protein-alanine acetyltransferase,rimI,,
P0A948,P0A948,Ribosomal-protein-alanine acetyltransferase,rimJ,,
P0C0U4,P0C0U4,Ribosomal protein S6 modification protein,rimK,,
P13857,P13857,Ribosomal-protein-serine acetyltransferase,rimL,,
P0A7X6,P0A7X6,Ribosome maturation factor RimM,rimM,,
P45748,P45748,tRNA threonylcarbamoyladenosine biosynthesis protein RimN,rimN,,
P0AEI4,P0AEI4,Ribosomal protein S12 methylthiotransferase RimO,rimO,,
P0A8A8,P0A8A8,Ribosome maturation factor RimP,rimP,,
P36999,P36999,23S rRNA (guanine(745)-N(1))-methyltransferase,rlmA,,
P63177,P63177,23S rRNA (guanosine-2-O-)-methyltransferase RlmB,rlmB,,
P55135,P55135,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,rlmD,,
P0C0R7,P0C0R7,Ribosomal RNA large subunit methyltransferase E,rlmE,,
P75782,P75782,Ribosomal RNA large subunit methyltransferase F,rlmF,,
P42596,P42596,Ribosomal RNA large subunit methyltransferase G,rlmG,,
P0A8I8,P0A8I8,Ribosomal RNA large subunit methyltransferase H,rlmH,,
P75876,P75876,Ribosomal RNA large subunit methyltransferase I,rlmI,,
P75864,P75864,Ribosomal RNA large subunit methyltransferase L,rlmL,,
P0ADR6,P0ADR6,Ribosomal RNA large subunit methyltransferase M,rlmM,,
P36979,P36979,Ribosomal RNA large subunit methyltransferase N,rlmN,,
P10100,P10100,Rare lipoprotein A,rlpA,,
P0AA37,P0AA37,Ribosomal large subunit pseudouridine synthase A,rluA,,
P37765,P37765,Ribosomal large subunit pseudouridine synthase B,rluB,,
P0AA39,P0AA39,Ribosomal large subunit pseudouridine synthase C,rluC,,
P33643,P33643,Ribosomal large subunit pseudouridine synthase D,rluD,,
P32684,P32684,Ribosomal large subunit pseudouridine synthase F,rluF,,
P0AFW2,P0AFW2,Ribosome modulation factor,rmf,,
P37744,P37744,Glucose-1-phosphate thymidylyltransferase 1,rmlA1,,
P61887,P61887,Glucose-1-phosphate thymidylyltransferase 2,rmlA2,,
P0AG71,P0AG71,DNA recombination protein rmuC,rmuC,,
P21338,P21338,Ribonuclease I,rna,,
P30850,P30850,Exoribonuclease 2,rnb,,
P0A7Y0,P0A7Y0,Ribonuclease 3,rnc,,
P09155,P09155,Ribonuclease D,rnd,,
P21513,P21513,Ribonuclease E,rne,,
P77611,P77611,Electron transport complex protein RnfC,rnfC,,
P77285,P77285,Electron transport complex protein RnfG,rnfG,,
P0A9J0,P0A9J0,Ribonuclease G,rng,,
P0A7Y4,P0A7Y4,Ribonuclease HI,rnhA,,
P0AFW4,P0AFW4,Regulator of nucleoside diphosphate kinase,rnk,,
P0A7Y8,P0A7Y8,Ribonuclease P protein component,rnpA,,
P21499,P21499,Ribonuclease R,rnr,,
P30014,P30014,Ribonuclease T,rnt,,
P0ACI0,P0ACI0,Right origin-binding protein,rob,,
P27434,P27434,Cytoskeleton protein rodZ,rodZ,,
P0AFW8,P0AFW8,Protein rof,rof,,
P0AG07,P0AG07,Ribulose-phosphate 3-epimerase,rpe,,
P0CG19,P0CG19,Inactive ribonuclease PH,rph,,
P0A7Z0,P0A7Z0,Ribose-5-phosphate isomerase A,rpiA,,
P37351,P37351,Ribose-5-phosphate isomerase B,rpiB,,
P0ACS7,P0ACS7,HTH-type transcriptional regulator RpiR,rpiR,,
P0A7L0,P0A7L0,50S ribosomal protein L1,rplA,,
P60422,P60422,50S ribosomal protein L2,rplB,,
P60438,P60438,50S ribosomal protein L3,rplC,,
P60723,P60723,50S ribosomal protein L4,rplD,,
P62399,P62399,50S ribosomal protein L5,rplE,,
P0AG55,P0AG55,50S ribosomal protein L6,rplF,,
P0A7R1,P0A7R1,50S ribosomal protein L9,rplI,,
P0A7J3,P0A7J3,50S ribosomal protein L10,rplJ,,
P0A7J7,P0A7J7,50S ribosomal protein L11,rplK,,
P0A7K2,P0A7K2,50S ribosomal protein L7/L12,rplL,,
P0AA10,P0AA10,50S ribosomal protein L13,rplM,,
P0ADY3,P0ADY3,50S ribosomal protein L14,rplN,,
P02413;P75981,P02413,50S ribosomal protein L15,rplO,,
P0ADY7,P0ADY7,50S ribosomal protein L16,rplP,,
P0AG44,P0AG44,50S ribosomal protein L17,rplQ,,
P0C018,P0C018,50S ribosomal protein L18,rplR,,
P0A7K6,P0A7K6,50S ribosomal protein L19,rplS,,
P0A7L3,P0A7L3,50S ribosomal protein L20,rplT,,
P0AG48,P0AG48,50S ribosomal protein L21,rplU,,
P61175,P61175,50S ribosomal protein L22,rplV,,
P0ADZ0,P0ADZ0,50S ribosomal protein L23,rplW,,
P60624,P60624,50S ribosomal protein L24,rplX,,
P68919,P68919,50S ribosomal protein L25,rplY,,
P0A7L8,P0A7L8,50S ribosomal protein L27,rpmA,,
P0A7M2,P0A7M2,50S ribosomal protein L28,rpmB,,
P0A7M6,P0A7M6,50S ribosomal protein L29,rpmC,,
P0AG51,P0AG51,50S ribosomal protein L30,rpmD,,
P0A7M9,P0A7M9,50S ribosomal protein L31,rpmE,,
P0A7N4,P0A7N4,50S ribosomal protein L32,rpmF,,
P0A7N9,P0A7N9,50S ribosomal protein L33,rpmG,,
P0A7P5,P0A7P5,50S ribosomal protein L34,rpmH,,
P0A7Q1,P0A7Q1,50S ribosomal protein L35,rpmI,,
P0A7Q6,P0A7Q6,50S ribosomal protein L36,rpmJ,,
P0A7Z4,P0A7Z4,DNA-directed RNA polymerase subunit alpha,rpoA,,
P0A8V2,P0A8V2,DNA-directed RNA polymerase subunit beta,rpoB,,
P0A8T7;REV__P0C0V0,P0A8T7,DNA-directed RNA polymerase subunit beta,rpoC,,
P00579,P00579,RNA polymerase sigma factor rpoD,rpoD,,
P0AGB6,P0AGB6,RNA polymerase sigma-E factor,rpoE,,
P24255,P24255,RNA polymerase sigma-54 factor,rpoN,,
P13445,P13445,RNA polymerase sigma factor rpoS,rpoS,,
P0A800,P0A800,DNA-directed RNA polymerase subunit omega,rpoZ,,
P0A776,P0A776,RNA pyrophosphohydrolase,rppH,,
P0AG67,P0AG67,30S ribosomal protein S1,rpsA,,
P0A7V0,P0A7V0,30S ribosomal protein S2,rpsB,,
P0A7V3,P0A7V3,30S ribosomal protein S3,rpsC,,
P0A7V8,P0A7V8,30S ribosomal protein S4,rpsD,,
P0A7W1,P0A7W1,30S ribosomal protein S5,rpsE,,
P02358,P02358,"30S ribosomal protein S6;30S ribosomal protein S6, fully modified isoform;30S ribosomal protein S6, non-modified isoform",rpsF,,
P02359,P02359,30S ribosomal protein S7,rpsG,,
P0A7W7,P0A7W7,30S ribosomal protein S8,rpsH,,
P0A7X3,P0A7X3,30S ribosomal protein S9,rpsI,,
P0A7R5,P0A7R5,30S ribosomal protein S10,rpsJ,,
P0A7R9,P0A7R9,30S ribosomal protein S11,rpsK,,
P0A7S3,P0A7S3,30S ribosomal protein S12,rpsL,,
P0A7S9,P0A7S9,30S ribosomal protein S13,rpsM,,
P0AG59,P0AG59,30S ribosomal protein S14,rpsN,,
P0ADZ4,P0ADZ4,30S ribosomal protein S15,rpsO,,
P0A7T3,P0A7T3,30S ribosomal protein S16,rpsP,,
P0AG63,P0AG63,30S ribosomal protein S17,rpsQ,,
P0A7T7,P0A7T7,30S ribosomal protein S18,rpsR,,
P0A7U3,P0A7U3,30S ribosomal protein S19,rpsS,,
P0A7U7,P0A7U7,30S ribosomal protein S20,rpsT,,
P68679,P68679,30S ribosomal protein S21,rpsU,,
P0A8R0,P0A8R0,Regulator of ribonuclease activity A,rraA,,
P0AF90,P0AF90,Regulator of ribonuclease activity B,rraB,,
P0AFX4,P0AFX4,Regulator of sigma D,rsd,,
P0AFX7,P0AFX7,Sigma-E factor negative regulatory protein,rseA,,
P0AFX9,P0AFX9,Sigma-E factor regulatory protein rseB,rseB,,
P0AEH1,P0AEH1,Regulator of sigma E protease,rseP,,
P39286,P39286,Putative ribosome biogenesis GTPase RsgA,rsgA,,
P06992,P06992,Ribosomal RNA small subunit methyltransferase A,rsmA,,
P36929,P36929,Ribosomal RNA small subunit methyltransferase B,rsmB,,
P39406,P39406,Ribosomal RNA small subunit methyltransferase C,rsmC,,
P0ADX9,P0ADX9,Ribosomal RNA small subunit methyltransferase D,rsmD,,
P0AGL7,P0AGL7,Ribosomal RNA small subunit methyltransferase E,rsmE,,
P76273,P76273,Ribosomal RNA small subunit methyltransferase F,rsmF,,
P0A6U5,P0A6U5,Ribosomal RNA small subunit methyltransferase G,rsmG,,
P60390,P60390,Ribosomal RNA small subunit methyltransferase H,rsmH,,
P67087,P67087,Ribosomal RNA small subunit methyltransferase I,rsmI,,
P68567,P68567,Ribosomal RNA small subunit methyltransferase J,rsmJ,,
P38104,P38104,Starvation-sensing protein rspA,rspA,,
P38105,P38105,Starvation-sensing protein RspB,rspB,,
P0AFR0,P0AFR0,NTE family protein rssA,rssA,,
P52108,P52108,Transcriptional regulatory protein RstA,rstA,,
P18392,P18392,Sensor protein RstB,rstB,,
P0AA43,P0AA43,Ribosomal small subunit pseudouridine synthase A,rsuA,,
P76446,P76446,Protein Rtn,rtn,,
P0ACU2,P0ACU2,HTH-type transcriptional regulator RutR,rutR,,
P0A809,P0A809,Holliday junction ATP-dependent DNA helicase RuvA,ruvA,,
P0A812,P0A812,Holliday junction ATP-dependent DNA helicase RuvB,ruvB,,
P76149,P76149,Succinate semialdehyde dehydrogenase [NAD(P)+] Sad,sad,,
P0AFY2,P0AFY2,Protein sanA,sanA,,
Q47622,Q47622,Peptide transport periplasmic protein sapA,sapA,,
P0AAH4,P0AAH4,Peptide transport system ATP-binding protein SapD,sapD,,
P0AAH8,P0AAH8,Peptide transport system ATP-binding protein SapF,sapF,,
Q2A0L1;Q2A0L0;P04995;Q2A0K9;C0Z3X9,Q2A0L1;Q2A0L0;P04995;Q2A0K9,Exodeoxyribonuclease I,sbcB,,
P13458,P13458,Nuclease sbcCD subunit C,sbcC,,
P0AG76,P0AG76,Nuclease sbcCD subunit D,sbcD,,
P0AFY6,P0AFY6,Protein sbmA,sbmA,,
P33012,P33012,DNA gyrase inhibitor,sbmC,,
P0AG78,P0AG78,Sulfate-binding protein,sbp,,
P16095;P42630,P16095,L-serine dehydratase 1,sdaA,,
P0AAD6,P0AAD6,Serine transporter,sdaC,,
P0AC41,P0AC41,Succinate dehydrogenase flavoprotein subunit,sdhA,,
P07014,P07014,Succinate dehydrogenase iron-sulfur subunit,sdhB,,
P69054,P69054,Succinate dehydrogenase cytochrome b556 subunit,sdhC,,
P0AC44,P0AC44,Succinate dehydrogenase hydrophobic membrane anchor subunit,sdhD,,
P10408,P10408,Protein translocase subunit SecA,secA,,
P0AG86,P0AG86,Protein-export protein SecB,secB,,
P0AG90,P0AG90,Protein translocase subunit SecD,secD,,
P0AG96,P0AG96,Preprotein translocase subunit SecE,secE,,
P0AG93,P0AG93,Protein translocase subunit SecF,secF,,
P0AG99,P0AG99,Protein-export membrane protein SecG,secG,,
P0AGA2,P0AGA2,Protein translocase subunit SecY,secY,,
P0A821,P0A821,L-seryl-tRNA(Sec) selenium transferase,selA,,
P14081,P14081,Selenocysteine-specific elongation factor,selB,,
P16456,P16456,"Selenide, water dikinase",selD,,
P33667,P33667,tRNA 2-selenouridine synthase,selU,,
P0AFY8,P0AFY8,Negative modulator of initiation of replication,seqA,,
P0A9T0,P0A9T0,D-3-phosphoglycerate dehydrogenase,serA,,
P0AGB0,P0AGB0,Phosphoserine phosphatase,serB,,
P23721,P23721,Phosphoserine aminotransferase,serC,,
P0A8L1,P0A8L1,Serine--tRNA ligase,serS,,
P0A823,P0A823,Sugar fermentation stimulation protein A,sfsA,,
P37678,P37678,3-keto-L-gulonate-6-phosphate decarboxylase sgbH,sgbH,,
P39364,P39364,Putative sgc region protein SgcQ,sgcQ,,
P39366,P39366,Putative aminopeptidase sgcX,sgcX,,
P76502,P76502,Phosphohistidine phosphatase sixA,sixA,,
P0AEU7,P0AEU7,Chaperone protein skp,skp,,
P0C093,P0C093,Nucleoid occlusion factor SlmA,slmA,,
P37194,P37194,Outer membrane protein slp,slp,,
P0AGC3,P0AGC3,Soluble lytic murein transglycosylase,slt,,
P0A8W2,P0A8W2,Transcriptional regulator slyA,slyA,,
P0A905,P0A905,Outer membrane lipoprotein SlyB,slyB,,
P0A9K9,P0A9K9,FKBP-type peptidyl-prolyl cis-trans isomerase slyD,slyD,,
P0A8R4,P0A8R4,Protein SlyX,slyX,,
P0AGC7,P0AGC7,Protein smp,smp,,
P0A832;C3UPD1,P0A832;C3UPD1,SsrA-binding protein,smpB,,
P76053,P76053,Probable DNA endonuclease SmrA,smrA,,
P36566,P36566,Protein smtA,smtA,,
P00448,P00448,Superoxide dismutase [Mn],sodA,,
P0AGD3,P0AGD3,Superoxide dismutase [Fe],sodB,,
P0AGD1,P0AGD1,Superoxide dismutase [Cu-Zn],sodC,,
P0AG14,P0AG14,Probable protease sohB,sohB,,
P40874,P40874,N-methyl-L-tryptophan oxidase,solA,,
P21170,P21170,Biosynthetic arginine decarboxylase,speA,,
P60651,P60651,Agmatinase,speB,,
P21169,P21169,"Ornithine decarboxylase, constitutive",speC,,
P0A7F6,P0A7F6,S-adenosylmethionine decarboxylase proenzyme;S-adenosylmethionine decarboxylase beta chain;S-adenosylmethionine decarboxylase alpha chain,speD,,
P09158,P09158,Spermidine synthase,speE,,
P0A951,P0A951,Spermidine N(1)-acetyltransferase,speG,,
P0AG24,P0AG24,"Bifunctional (p)ppGpp synthase/hydrolase SpoT;GTP pyrophosphokinase;Guanosine-3,5-bis(diphosphate) 3-pyrophosphohydrolase",spoT,,
P08395,P08395,Protease 4,sppA,,
P77754,P77754,Spheroplast protein Y,spy,,
P68191,P68191,Stationary-phase-induced ribosome-associated protein,sra,,
P05707,P05707,Sorbitol-6-phosphate 2-dehydrogenase,srlD,,
P56580,P56580,Glucitol/sorbitol-specific phosphotransferase enzyme IIB component,srlE,,
P15082,P15082,Glucitol operon repressor,srlR,,
P21507,P21507,ATP-dependent RNA helicase SrmB,srmB,,
P0AGE0;P18310,P0AGE0,Single-stranded DNA-binding protein,ssb,,
P31142,P31142,3-mercaptopyruvate sulfurtransferase,sseA,,
P0AFZ1,P0AFZ1,Protein sseB,sseB,,
P0ACA3,P0ACA3,Stringent starvation protein A,sspA,,
P0AFZ3,P0AFZ3,Stringent starvation protein B,sspB,,
P0AGE4,P0AGE4,Serine/threonine transporter sstT,sstT,,
P27306,P27306,Soluble pyridine nucleotide transhydrogenase,sthA,,
P0ACG1,P0ACG1,DNA-binding protein stpA,stpA,,
P0AFG3,P0AFG3,2-oxoglutarate dehydrogenase E1 component,sucA,,
P0AFG6,P0AFG6,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,sucB,,
P0A836,P0A836,Succinyl-CoA ligase [ADP-forming] subunit beta,sucC,,
P0AGE9,P0AGE9,Succinyl-CoA ligase [ADP-forming] subunit alpha,sucD,,
P77667,P77667,Protein SufA,sufA,,
P77522,P77522,FeS cluster assembly protein sufB,sufB,,
P77499,P77499,Probable ATP-dependent transporter SufC,sufC,,
P77689,P77689,FeS cluster assembly protein sufD,sufD,,
P76194,P76194,Cysteine desulfuration protein SufE,sufE,,
P77444,P77444,Cysteine desulfurase,sufS,,
P0ADG4,P0ADG4,Inositol-1-monophosphatase,suhB,,
P0ABZ6,P0ABZ6,Chaperone SurA,surA,,
P0A840,P0A840,5/3-nucleotidase SurE,surE,,
P0A8U0,P0A8U0,Protein syd,syd,,
P0AF96,P0AF96,Toxin-antitoxin biofilm protein TabA,tabA,,
P68398,P68398,tRNA-specific adenosine deaminase,tadA,,
P05100,P05100,DNA-3-methyladenine glycosylase 1,tag,,
P0A867,P0A867,Transaldolase A,talA,,
P0A870,P0A870,Transaldolase B,talB,,
P76145,P76145,Trans-aconitate 2-methyltransferase,tam,,
P0ADE4,P0ADE4,Translocation and assembly module TamA,tamA,,
P39321,P39321,Translocation and assembly module TamB,tamB,,
P07017;P02942,P07017,Methyl-accepting chemotaxis protein II,tar,,
P0A9T4,P0A9T4,Protein tas,tas,,
P69428,P69428,Sec-independent protein translocase protein TatA,tatA,,
P69425,P69425,Sec-independent protein translocase protein TatB,tatB,,
P69423,P69423,Sec-independent protein translocase protein TatC,tatC,,
P27859,P27859,Tat-linked quality control protein TatD,tatD,,
P42632,P42632,PFL-like enzyme TdcE,tdcE,,
P0AGL2,P0AGL2,Putative reactive intermediate deaminase TdcF,tdcF,,
P07913,P07913,L-threonine 3-dehydrogenase,tdh,,
P23331,P23331,Thymidine kinase,tdk,,
P25397,P25397,Tellurite resistance protein TehB,tehB,,
P0ADA1,P0ADA1,Acyl-CoA thioesterase I,tesA,,
P0AGG2,P0AGG2,Acyl-CoA thioesterase 2,tesB,,
P0A847,P0A847,Queuine tRNA-ribosyltransferase,tgt,,
P31550,P31550,Thiamine-binding periplasmic protein,thiB,,
P76422,P76422,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,thiD,,
P30137,P30137,Thiamine-phosphate synthase,thiE,,
P77718,P77718,tRNA sulfurtransferase,thiI,,
P0AGG0,P0AGG0,Thiamine-monophosphate kinase,thiL,,
P00561,P00561,Bifunctional aspartokinase/homoserine dehydrogenase 1;Aspartokinase;Homoserine dehydrogenase,thrA,,
P00547,P00547,Homoserine kinase,thrB,,
P00934,P00934,Threonine synthase,thrC,,
P0A8M3,P0A8M3,Threonine--tRNA ligase,thrS,,
P0A884,P0A884,Thymidylate synthase,thyA,,
P0A850,P0A850,Trigger factor,tig,,
P52097,P52097,tRNA(Ile)-lysidine synthase,tilS,,
P27302,P27302,Transketolase 1,tktA,,
P33570,P33570,Transketolase 2,tktB,,
P0AGG8,P0AGG8,Protein tldD,tldD,,
P0A720,P0A720,Thymidylate kinase,tmk,,
P0A853,P0A853,Tryptophanase,tnaA,,
P23173,P23173,Low affinity tryptophan permease,tnaB,,
P19934,P19934,Protein tolA,tolA,,
P0A855,P0A855,Protein TolB,tolB,,
P02930,P02930,Outer membrane protein tolC,tolC,,
P0ABU9,P0ABU9,Protein tolQ,tolQ,,
P0ABV6,P0ABV6,Protein tolR,tolR,,
P02929,P02929,Protein tonB,tonB,,
P06612,P06612,DNA topoisomerase 1,topA,,
P38683,P38683,Periplasmic protein torT,torT,,
P0A858,P0A858,Triosephosphate isomerase,tpiA,,
P0A862,P0A862,Thiol peroxidase,tpx,,
P0AFS5,P0AFS5,AI-2 transport protein tqsA,tqsA,,
P13482,P13482,Periplasmic trehalase,treA,,
P36672,P36672,PTS system trehalose-specific EIIBC component;Trehalose-specific phosphotransferase enzyme IIB component;Trehalose permease IIC component,treB,,
P28904,P28904,Trehalose-6-phosphate hydrolase,treC,,
P62601,P62601,Cytoplasmic trehalase,treF,,
P36673,P36673,HTH-type transcriptional regulator TreR,treR,,
P05704,P05704,Methyl-accepting chemotaxis protein III,trg,,
P0AGI8,P0AGI8,Trk system potassium uptake protein trkA,trkA,,
P23003,P23003,tRNA (uracil(54)-C(5))-methyltransferase,trmA,,
P0A8I5,P0A8I5,tRNA (guanine-N(7)-)-methyltransferase,trmB,,
P0A873,P0A873,tRNA (guanine-N(1)-)-methyltransferase,trmD,,
P0AGJ2,P0AGJ2,tRNA (guanosine(18)-2-O)-methyltransferase,trmH,,
P0AE01,P0AE01,tRNA (cytidine/uridine-2-O-)-methyltransferase TrmJ,trmJ,,
P0AGJ7,P0AGJ7,tRNA (cytidine(34)-2-O)-methyltransferase,trmL,,
P0A877,P0A877,Tryptophan synthase alpha chain,trpA,,
P0A879,P0A879,Tryptophan synthase beta chain,trpB,,
